src_ip,dst_ip,src_port,dst_port,length,timestamp,time_delta,is_syn,is_ack,is_fin,is_rst,label,payload_size,ttl
192.168.56.1,192.168.56.102,22,49080,142,1775645637.6184962,0.5362272,0,1,0,0,2,76,128
192.168.56.1,192.168.56.102,8080,52976,66,1775645291.207126,593.4670141,0,1,1,0,0,0,128
192.168.56.102,192.168.56.1,49800,8080,66,1775645466.835165,52.4985691,0,1,1,0,1,0,64
192.168.56.102,192.168.56.1,43020,22,66,1775645245.155399,547.4152871,0,1,0,0,0,0,64
192.168.56.102,192.168.56.1,49148,22,110,1775645637.8210804,0.7388115,0,1,0,0,2,44,64
192.168.56.1,192.168.56.102,22,49184,99,1775645638.0076644,0.9253955,0,1,0,0,2,33,128
192.168.56.102,192.168.56.1,49090,22,150,1775645637.6430247,0.5607558,0,1,0,0,2,84,64
192.168.56.102,192.168.56.1,43020,22,102,1775645258.2930226,560.5529107,0,1,0,0,0,36,64
192.168.56.1,192.168.56.102,80,22198,54,1775645959.7871113,7.6736666,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,50034,8080,66,1775645467.3980155,53.0614196,0,1,1,0,1,0,64
192.168.56.102,192.168.56.1,43020,22,66,1775645245.155399,547.4152871,0,1,0,0,0,0,64
192.168.56.102,192.168.56.1,62818,9050,60,1775645455.1694684,40.8328725,1,0,0,0,1,2,37
192.168.56.102,192.168.56.1,14078,80,60,1775645959.1472528,7.0338081,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,80,1307,54,1775645972.7063446,20.5928998,0,1,0,1,3,0,128
192.168.56.1,192.168.56.102,22,49068,54,1775645637.250428,0.168159,0,1,0,1,2,0,128
192.168.56.1,192.168.56.102,10025,62818,54,1775645455.1560247,40.8194287,0,1,0,1,1,0,128
192.168.56.102,192.168.56.1,34007,80,60,1775645965.7930248,13.6795801,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,21599,80,60,1775645969.7882009,17.674756,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,35796,932,60,1775645414.346803,0.0102071,1,0,0,0,1,2,43
192.168.56.1,192.168.56.102,8080,52708,222,1775644697.7604115,0.0202997,0,1,0,0,0,156,128
192.168.56.102,192.168.56.1,62818,2811,60,1775645456.23467,41.8980741,1,0,0,0,1,2,51
192.168.56.102,192.168.56.1,62818,2111,60,1775645455.1180973,40.7815012,1,0,0,0,1,2,57
192.168.56.1,192.168.56.102,80,25202,54,1775645974.5537734,22.4403286,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,33475,80,60,1775645975.1677542,23.0543094,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,62818,9110,60,1775645455.1805508,40.8439548,1,0,0,0,1,2,46
192.168.56.1,192.168.56.102,80,19923,54,1775645959.613105,7.4996602,0,1,0,1,3,0,128
192.168.56.1,192.168.56.102,80,64995,54,1775645957.9330227,5.8195779,0,1,0,1,3,0,128
192.168.56.1,192.168.56.102,22,49130,54,1775645637.831707,0.749438,0,1,0,1,2,0,128
192.168.56.102,192.168.56.1,11460,80,60,1775645969.1305242,17.0170794,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,22,40660,214,1775645145.093172,447.35306,0,1,0,0,0,148,128
192.168.56.1,192.168.56.102,22,43020,102,1775645257.0597868,559.3196749,0,1,0,0,0,36,128
192.168.56.102,192.168.56.1,26484,80,60,1775645954.7276385,2.6141937,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,49773,80,60,1775645956.715842,4.6023973,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,49196,22,74,1775645637.9798753,0.8976064,1,0,0,0,2,0,64
192.168.56.102,192.168.56.1,49110,22,150,1775645637.6807947,0.5985257,0,1,0,0,2,84,64
192.168.56.102,192.168.56.1,49196,22,74,1775645637.9798753,0.8976064,1,0,0,0,2,0,64
192.168.56.1,192.168.56.102,22,49112,54,1775645637.802189,0.7199201,0,1,0,1,2,0,128
192.168.56.102,192.168.56.1,43020,22,66,1775645256.39517,558.6550582,0,1,0,0,0,0,64
192.168.56.102,192.168.56.1,42641,80,60,1775645961.3301451,9.2167004,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,80,34844,54,1775645955.4383109,3.324866,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,14096,80,60,1775645969.3043475,17.1909027,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,22,49172,66,1775645638.0428872,0.9606183,0,1,0,0,2,0,128
192.168.56.102,192.168.56.1,62818,119,60,1775645456.2403424,41.9037464,1,0,0,0,1,2,39
192.168.56.1,192.168.56.102,22,43020,134,1775645259.5513527,561.811241,0,1,0,0,0,68,128
192.168.56.1,192.168.56.102,80,14774,54,1775645964.3183246,12.2048798,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,21501,80,60,1775645954.3606536,2.2472088,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,22,49090,66,1775645637.6130548,0.5307859,0,1,0,0,2,0,128
192.168.56.102,192.168.56.1,40660,22,102,1775645164.5952928,466.855181,0,1,0,0,0,36,64
192.168.56.102,192.168.56.1,27168,80,60,1775645965.2785237,13.1650787,1,0,0,0,3,6,64
192.168.56.102,192.168.56.1,43020,22,102,1775645257.6172707,559.8771588,0,1,0,0,0,36,64
192.168.56.102,192.168.56.1,49110,22,74,1775645637.4669924,0.3847234,1,0,0,0,2,0,64
192.168.56.1,192.168.56.102,80,54669,54,1775645962.3077123,10.1942677,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,49128,22,74,1775645637.6905656,0.6082965,1,0,0,0,2,0,64
192.168.56.102,192.168.56.1,49096,22,150,1775645637.656604,0.574335,0,1,0,0,2,84,64
192.168.56.102,192.168.56.1,43020,22,66,1775645256.183715,558.4436033,0,1,0,0,0,0,64
192.168.56.1,192.168.56.102,80,10930,54,1775645978.540207,26.4267619,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,62818,902,60,1775645455.0967033,40.7601073,1,0,0,0,1,2,56
192.168.56.1,192.168.56.102,22,49110,66,1775645637.5085552,0.4262861,0,1,0,0,2,0,128
192.168.56.102,192.168.56.1,47634,80,60,1775645966.9003496,14.7869049,1,0,0,0,3,6,64
192.168.56.1,192.168.56.102,80,64778,54,1775645963.0827072,10.9692624,0,1,0,1,3,0,128
192.168.56.102,192.168.56.1,35796,852,60,1775645414.3527887,0.016193,1,0,0,0,1,2,42
